Data point number,Authors,Paper name,Year,Journal,Country of authors' affiliation,Channel hydraulic diameter [mm],Channel lenght [mm],Channel boundary conditions,Channel cross section type,Channel cross section aspect ratio,Ignition location,Initial temperature [K],Initial pressure [bar],H2 [% v/v],CH4 [% v/v],C2H2 [% v/v],C2H4 [% v/v],C2H6 [% v/v],C3H8 [% v/v],C4H10 [% v/v],CO [% v/v],O2 [% v/v],N2 [% v/v],Ar [% v/v],He [% v/v],CO2 [% v/v],Run-up distance to detonation [mm],CJ detonation speed [m/s],Detonation induction lenght [m],Laminar flame speed [m/s],Expansion ratio ,Laminar flame thickness [m],Adiabatic flame temperature [K],Cp/Cv,Sound speed in burnt products [m/s],Sound speed in fresh mixture [m/s],Lewis (fuel),Lewis (Oxygen),Activation energy [J/kmol],Zeldovich number
181,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,135,2.40E+03,3.60E-05,8.19E+00,8.01E+00,1.07E-02,3.13E+03,1.40E+00,1.21E+03,4.60E+02,4.27E-01,6.77E+00,4.98E+03,1.72E-01
182,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,25,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,30,2.43E+03,2.11E-05,6.66E+00,8.14E+00,3.97E-03,3.21E+03,1.40E+00,1.22E+03,4.60E+02,4.27E-01,6.77E+00,5.89E+03,1.98E-01
183,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,760,2.28E+03,5.79E-05,1.41E+01,5.10E+00,2.18E-01,2.94E+03,1.38E+00,1.20E+03,5.65E+02,4.23E-01,6.71E+00,4.61E+04,1.58E+00
184,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,10,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,150,2.37E+03,1.77E-05,1.46E+01,5.37E+00,1.17E-02,3.18E+03,1.38E+00,1.23E+03,5.65E+02,4.23E-01,6.71E+00,2.74E+04,8.79E-01
185,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,610,2.60E+03,4.82E-05,9.94E+00,7.90E+00,2.11E-01,3.04E+03,1.40E+00,1.33E+03,5.07E+02,4.08E-01,6.47E+00,1.09E+05,3.87E+00
186,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,160,2.68E+03,2.41E-05,1.15E+01,8.24E+00,2.65E-02,3.24E+03,1.40E+00,1.35E+03,5.07E+02,4.08E-01,6.47E+00,1.16E+04,3.88E-01
187,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,130,2.71E+03,2.13E-05,1.15E+01,8.38E+00,1.13E-02,3.33E+03,1.40E+00,1.36E+03,5.07E+02,4.08E-01,6.47E+00,1.53E+04,5.02E-01
188,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,50,2.75E+03,1.23E-05,1.03E+01,8.56E+00,3.90E-03,3.45E+03,1.40E+00,1.37E+03,5.07E+02,4.08E-01,6.47E+00,1.39E+04,4.41E-01
189,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,890,2.56E+03,5.79E-05,1.67E+01,5.27E+00,2.33E-01,3.06E+03,1.38E+00,1.34E+03,6.24E+02,4.04E-01,6.41E+00,8.91E+04,2.96E+00
190,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,10,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,120,2.67E+03,1.20E-05,1.96E+01,5.60E+00,1.26E-02,3.36E+03,1.38E+00,1.38E+03,6.24E+02,4.04E-01,6.41E+00,1.96E+04,6.01E-01
191,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,720,2.80E+03,5.07E-05,1.06E+01,7.99E+00,2.24E-01,3.07E+03,1.40E+00,1.43E+03,5.42E+02,3.89E-01,6.18E+00,6.89E+04,2.42E+00
192,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,311,5,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,190,2.92E+03,2.11E-05,1.27E+01,8.37E+00,2.85E-02,3.30E+03,1.40E+00,1.47E+03,5.48E+02,3.86E-01,6.12E+00,1.97E+04,6.53E-01
193,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,120,2.96E+03,1.78E-05,1.29E+01,8.53E+00,1.21E-02,3.39E+03,1.40E+00,1.48E+03,5.48E+02,3.85E-01,6.12E+00,4.10E+04,1.32E+00
194,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,25,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,25,3.00E+03,1.01E-05,1.21E+01,8.73E+00,4.12E-03,3.53E+03,1.40E+00,1.50E+03,5.48E+02,3.87E-01,6.14E+00,2.40E+04,7.47E-01
195,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,980,2.79E+03,6.41E-05,1.77E+01,5.33E+00,2.51E-01,3.10E+03,1.39E+00,1.46E+03,6.74E+02,3.82E-01,6.06E+00,1.03E+05,3.40E+00
196,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,10,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,130,2.92E+03,1.11E-05,2.16E+01,5.69E+00,1.37E-02,3.42E+03,1.39E+00,1.50E+03,6.74E+02,3.82E-01,6.06E+00,4.02E+04,1.22E+00
197,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,910,2.96E+03,5.58E-05,1.08E+01,8.01E+00,2.37E-01,3.07E+03,1.40E+00,1.51E+03,5.73E+02,3.71E-01,5.89E+00,6.29E+04,2.22E+00
198,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,200,3.05E+03,2.16E-05,1.29E+01,8.38E+00,2.98E-02,3.29E+03,1.40E+00,1.54E+03,5.73E+02,3.71E-01,5.89E+00,6.31E+04,2.09E+00
199,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,130,3.09E+03,1.78E-05,1.32E+01,8.54E+00,1.26E-02,3.38E+03,1.40E+00,1.55E+03,5.73E+02,3.71E-01,5.89E+00,4.83E+04,1.56E+00
200,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,25,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,40,3.14E+03,9.94E-06,1.25E+01,8.74E+00,4.29E-03,3.52E+03,1.40E+00,1.57E+03,5.73E+02,3.71E-01,5.89E+00,4.41E+04,1.38E+00
201,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,980,2.91E+03,6.93E-05,1.79E+01,5.34E+00,2.62E-01,3.09E+03,1.39E+00,1.52E+03,7.04E+02,3.68E-01,5.84E+00,5.89E+04,1.94E+00
202,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,10,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,780,3.05E+03,1.14E-05,2.21E+01,5.70E+00,1.43E-02,3.41E+03,1.39E+00,1.57E+03,7.04E+02,3.68E-01,5.84E+00,3.37E+04,1.02E+00
203,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,950,3.17E+03,6.87E-05,1.05E+01,7.93E+00,2.56E-01,3.01E+03,1.40E+00,1.62E+03,6.16E+02,3.46E-01,5.49E+00,7.36E+04,2.64E+00
204,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,473,1,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1250,3.12E+03,8.54E-05,1.75E+01,5.29E+00,2.84E-01,3.03E+03,1.39E+00,1.64E+03,7.58E+02,3.43E-01,5.45E+00,7.30E+04,2.45E+00
205,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1560,3.40E+03,1.02E-04,9.48E+00,7.62E+00,2.83E-01,2.84E+03,1.40E+00,1.74E+03,6.71E+02,3.16E-01,5.01E+00,8.31E+04,3.15E+00
206,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,530,3.48E+03,4.27E-05,1.11E+01,7.87E+00,3.54E-02,2.97E+03,1.40E+00,1.76E+03,6.71E+02,3.16E-01,5.01E+00,1.00E+05,3.65E+00
207,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,450,3.52E+03,3.30E-05,1.12E+01,7.97E+00,1.51E-02,3.03E+03,1.40E+00,1.77E+03,6.71E+02,3.16E-01,5.01E+00,5.54E+04,1.98E+00
208,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,25,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,310,3.55E+03,1.84E-05,1.02E+01,8.08E+00,5.26E-03,3.10E+03,1.40E+00,1.78E+03,6.71E+02,3.16E-01,5.01E+00,6.32E+04,2.22E+00
209,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1180,3.69E+03,1.16E-04,7.89E+00,7.03E+00,4.17E-02,2.56E+03,1.40E+00,1.86E+03,7.45E+02,2.80E-01,4.44E+00,9.15E+04,3.80E+00
210,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,830,1.88E+03,2.44E-04,3.68E+00,9.06E+00,8.41E-02,2.80E+03,1.37E+00,9.57E+02,3.34E+02,1.24E+00,1.52E+00,9.98E+04,3.82E+00
211,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,400,1.92E+03,9.71E-06,3.38E+00,9.36E+00,1.71E-02,2.93E+03,1.37E+00,9.73E+02,3.35E+02,1.17E+00,1.43E+00,7.27E+04,2.67E+00
212,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,330,2.04E+03,7.45E-05,5.18E+00,1.05E+01,5.80E-02,3.05E+03,1.35E+00,1.04E+03,3.35E+02,1.19E+00,1.46E+00,9.85E+04,3.49E+00
213,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,160,2.19E+03,4.18E-05,6.21E+00,1.17E+01,4.81E-02,3.19E+03,1.34E+00,1.11E+03,3.35E+02,1.15E+00,1.41E+00,1.08E+05,3.67E+00
214,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,35,2.26E+03,1.95E-06,7.41E+00,1.23E+01,9.26E-03,3.43E+03,1.34E+00,1.13E+03,3.35E+02,1.09E+00,1.34E+00,6.28E+04,2.00E+00
215,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,15,2.33E+03,2.77E-05,6.97E+00,1.29E+01,4.40E-02,3.29E+03,1.33E+00,1.17E+03,3.36E+02,1.11E+00,1.36E+00,1.08E+05,3.58E+00
216,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,28.499999999999996,0.0,0.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,0.0,20,2.42E+03,2.20E-05,7.32E+00,1.37E+01,4.31E-02,3.34E+03,1.33E+00,1.21E+03,3.36E+02,1.08E+00,1.32E+00,1.13E+05,3.68E+00
217,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,25,2.46E+03,2.02E-05,7.41E+00,1.40E+01,4.31E-02,3.36E+03,1.32E+00,1.23E+03,3.36E+02,1.07E+00,1.31E+00,1.05E+05,3.43E+00
218,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,30,2.59E+03,4.25E-06,9.74E+00,1.51E+01,3.48E-02,3.41E+03,1.31E+00,1.29E+03,3.36E+02,9.95E-01,1.22E+00,7.40E+04,2.37E+00
219,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,30,2.69E+03,3.85E-06,7.19E+00,1.60E+01,9.78E-03,3.69E+03,1.31E+00,1.32E+03,3.36E+02,1.03E+00,1.26E+00,1.09E+05,3.24E+00
220,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,35,2.72E+03,1.31E-05,7.08E+00,1.62E+01,4.84E-02,3.43E+03,1.30E+00,1.35E+03,3.37E+02,9.94E-01,1.22E+00,1.09E+05,3.49E+00
221,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,5,2.82E+03,2.91E-06,6.83E+00,1.71E+01,1.06E-02,3.72E+03,1.30E+00,1.38E+03,3.37E+02,9.94E-01,1.22E+00,1.11E+05,3.29E+00
222,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,35,2.93E+03,1.02E-05,5.32E+00,1.77E+01,6.40E-02,3.33E+03,1.29E+00,1.44E+03,3.38E+02,9.27E-01,1.14E+00,1.09E+05,3.58E+00
223,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,445,2.55E+03,5.79E-05,3.31E+00,1.42E+01,9.18E-02,3.00E+03,1.27E+00,1.26E+03,3.40E+02,8.66E-01,1.06E+00,1.13E+05,4.05E+00
224,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,500,2.19E+03,9.00E-04,1.59E+00,1.07E+01,1.43E-01,2.52E+03,1.26E+00,1.09E+03,3.42E+02,8.10E-01,9.95E-01,9.95E+04,4.16E+00
225,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,480,2.20E+03,3.76E-04,1.36E+00,1.08E+01,2.95E-02,2.55E+03,1.26E+00,1.09E+03,3.42E+02,8.10E-01,9.95E-01,9.70E+04,4.01E+00
226,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,19.3725,72.8775,0.0,0.0,0.0,1600,1.90E+03,7.21E-04,1.20E+00,8.32E+00,4.26E-02,2.62E+03,1.38E+00,9.69E+02,3.52E+02,1.27E+00,1.08E+00,9.06E+04,3.66E+00
227,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.9,71.1,0.0,0.0,0.0,990,1.98E+03,3.01E-04,1.36E+00,8.78E+00,3.89E-02,2.67E+03,1.37E+00,9.99E+02,3.52E+02,1.25E+00,1.07E+00,8.23E+04,3.27E+00
228,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,110,1.91E+03,1.07E-03,1.73E+00,8.95E+00,1.31E-01,2.67E+03,1.38E+00,9.76E+02,3.46E+02,9.22E-01,1.84E+00,1.35E+05,5.37E+00
229,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,960,1.95E+03,2.03E-04,1.26E+00,9.23E+00,3.32E-02,2.77E+03,1.38E+00,9.88E+02,3.46E+02,9.22E-01,1.84E+00,1.38E+05,5.31E+00
230,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,570,1.97E+03,1.60E-04,1.22E+00,9.27E+00,1.66E-02,2.81E+03,1.38E+00,9.93E+02,3.47E+02,9.17E-01,1.83E+00,1.43E+05,5.44E+00
231,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,780,2.19E+03,3.32E-04,3.04E+00,1.09E+01,8.98E-02,2.97E+03,1.36E+00,1.11E+03,3.54E+02,8.80E-01,1.76E+00,1.22E+05,4.42E+00
232,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,270,2.25E+03,5.74E-05,2.66E+00,1.14E+01,2.03E-02,3.15E+03,1.36E+00,1.13E+03,3.54E+02,8.80E-01,1.76E+00,1.29E+05,4.43E+00
233,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,280,2.27E+03,2.76E-05,2.45E+00,1.16E+01,1.08E-02,3.23E+03,1.36E+00,1.13E+03,3.54E+02,8.80E-01,1.76E+00,1.32E+05,4.45E+00
234,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,760,2.39E+03,2.02E-04,3.29E+00,1.22E+01,8.90E-02,3.05E+03,1.36E+00,1.20E+03,3.62E+02,8.45E-01,1.68E+00,1.20E+05,4.25E+00
235,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,240,2.46E+03,3.41E-05,2.99E+00,1.28E+01,1.97E-02,3.26E+03,1.36E+00,1.22E+03,3.62E+02,8.45E-01,1.69E+00,1.12E+05,3.74E+00
236,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,10,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,100,2.49E+03,1.61E-05,2.83E+00,1.31E+01,1.04E-02,3.35E+03,1.36E+00,1.23E+03,3.62E+02,8.45E-01,1.69E+00,1.25E+05,4.05E+00
237,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,1,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,790,2.53E+03,1.69E-04,2.78E+00,1.31E+01,1.06E-01,3.03E+03,1.35E+00,1.27E+03,3.68E+02,8.16E-01,1.63E+00,1.24E+05,4.43E+00
238,Bollinger et al.,Experimental Measurements and Theoretical Analysis of Detonation Induction Distances,1959,ARS journal,USA,15,2921,Closed/Closed,Cyrcular,N.A.,Closed end,310,5,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,370,2.60E+03,2.86E-05,2.56E+00,1.37E+01,2.33E-02,3.23E+03,1.35E+00,1.29E+03,3.68E+02,8.16E-01,1.63E+00,1.28E+05,4.32E+00
